Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
Ayuntamiento de Osuna,http://www.osuna.es/es/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Asociación Andaluza de Pediatría de Atención Primaria,http://www.pediatrasandalucia.org,Activa,Semestral,Pequeno,Medicina / Pediatría / Atención primaria / Asociaciones / Andalucía,Medicina
Asociación Productores Pesca de Carboneras S.C.A.-Cofradía de Pescadores de Carboneras (Almería),http://www.pescacarboneras.com,Activa,Anual,Mediano,Pesca / Cofradías de pescadores / Asociaciones / Almería,Caza
"CEIP Pilar Izquierdo (Las Gabias, Granada)",http://www.pilarizquierdo.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEPR Platero (Marbella, Málaga)",http://www.plateromarbella.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
Guadiato información,http://www.publicacionesdelguadiato.com,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Ayuntamiento de la Puebla de Cazalla,http://www.pueblacazalla.org/ayto/index.php,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Ayuntamiento de Punta Umbría,http://www.puntaumbria.es/opencms/opencms/puntaumbria,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Huelva,Administración
Asociación de  Productores de Queso de  Sierra de Cádiz Quesica,http://www.quesosierradecadiz.com,Activa,Anual,Mediano,Quesos / Industria alimentaria / Cádiz,Alimentaria
Hermandad de la Quinta Angustia de Carmona,http://www.quintaangustia.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Real Academia de Medicina y Cirugía de Cádiz,http://www.ramca.es,Activa,Semestral,Pequeno,Medicina / Cirugía / Instituciones científicas / Cádiz,Medicina
Real Academia Sevillana de Ciencias Veterinarias,http://www.rascvet.es,Activa,Semestral,Pequeno,Veterinaria / Instituciones científicas / Andalucía,Veterinaria
Real Academia de Bellas Artes Santa Isabel de Hungría,http://www.realacademiabellasartessevilla.com,Activa,Anual,Mediano,Arte / Instituciones culturales / Sevilla,Bellas artes
Sociedad Andaluza de Calidad Asistencia,http://www.sadeca.es,Activa,Semestral,Pequeno,Asistencia sanitaria / Calidad / Asociaciones / Andalucía,Medicina
Sociedad Andaluza de Enfermedades Infecciosas,http://www.saei.org,Activa,Semestral,Pequeno,Medicina / Enfermedades infecciosas / Asociaciones / Andalucía,Medicina
Sociedad Andaluza de Entomatología,http://www.sae-insectos.org,Activa,Anual,Mediano,Animales / Insectos / Asociaciones / Andalucía,Zoología
Cofradía Gastronómica del Salmorejo Cordobés,http://www.salmorejocordobes.com/contenidos/,Activa,Anual,Mediano,Gastronomía / Asociaciones / Córdoba,Cocina
CEIP Salvador Vinuesa (Córdoba),http://www.salvadorvinuesa.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"IES San Felipe Neri (Martos, Jaén)",http://www.sanfelipenerimartos.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Ayuntamiento de San Fernando (Cádiz),http://www.sanfernando.es/ayto/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Cádiz,Administración
Ayuntamiento de Santa Fe,http://www.santafe.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
"CEIP Santa Teresa de Jesús (Fuentes de Andalucía, Sevilla)",http://www.santateresafuentes.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Sociedad Andaluza de Oncología Médica,http://www.saom.es,Activa,Semestral,Pequeno,Medicina / Oncología / Asociaciones / Andalucía,Medicina
"Señoría de Segura (Puerta de Segura, Jaén)",http://www.senoriodesegura.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
Sevilla taurina,http://www.sevillataurina.com,Activa,Semestral,Pequeno,Antropología cultural y social / Toros / Tauromaquia / Sevilla,Juegos
El digital de la Sierra Sur de Sevilla,http://www.sierrasursevilla.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Hermandad de la Soledad Coronada (Coria del Río, Sevilla)",http://www.soledadcoronada.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
Sociedad Andaluza de Otorrinolaringología y Patología Cérvico-Facial (SORLA),http://www.sorla.org,Activa,Semestral,Pequeno,Medicina / Otorrinolaringología / Asociaciones / Andalucía,Medicina
Área de Gestión Sanitaria Norte de Almería,http://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/hinmaculada/web/index.asp,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Almería,Salud pública
Área de Gestión Sanitaria Sur de Granada (Motril),http://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/hmotril/motril.php#U2FsdGVkX19v8dQFFyzDjXBBdlBhUuBIpDnb91g+WDU=,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Granada,Medicina
"Sucesores de Morales Morales (Zamoranos, Córdoba)",http://www.sucesoresdemorales.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
Sur de Córdoba,http://www.surdecordoba.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Compañía Lírica Teatro del Arte (Málaga),http://www.teatrodelarte.com,Activa,Semestral,Pequeno,Teatro lírico / Ópera / Compañías teatrales / Málaga,Arte
Teatro del Gato (Málaga),http://www.teatrodelgato.com,Inactiva,Semestral,Pequeno,Teatro / Compañías teatrales / Málaga,Arte
Teatro Municipal Isabel La Católica (Granada),http://www.teatroisabellacatolica.es,Activa,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
"Carpa La (Torre del Mar, Málaga)",http://www.teatrolacarpa.com/La_Carpa/Index_2.html,Activa,Semestral,Pequeno,Teatro / Teatro de títeres / Cuentos / Compañías teatrales / Málaga,Arte
"Albero: teatro de títeres (La Rinconada, Sevilla)",http://www.titeresalbero.es,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Sevilla,Arte
Títeres Caracartón (Sevilla),http://www.titerescaracarton.com,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Sevilla,Arte
"IES Torre Almirante (Algeciras, Cádiz)",http://www.torrealmirante.net/extranet/,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Torremolinos noticias,http://www.torremolinosnoticias.es,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Ayuntamiento de Torrox,http://www.torrox.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Málaga,Administración
Tresperte: circo y teatro (Granada),http://www.tresperte.com,Activa,Semestral,Pequeno,Circo / Teatro / Artistas / Granada,Juegos
Universidad de Cádiz,http://www.uca.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
Universidad de Córdoba,http://www.uco.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
Universidad de Granada,http://www.ugr.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
Universidad de Huelva,http://www.uhu.es/index.php,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
"Bodegas Urium (Jerez de la Frontera, Cádiz)",http://www.urium.es/es/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Universidad de Sevilla,http://www.us.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
Vaivén Circo (Granada),http://www.vaivencirco.com,Activa,Semestral,Pequeno,Teatro de calle / Circo / Asociaciones / Granada,Juegos
V de Banana (Granada),http://www.vdebanana.com,Activa,Semestral,Pequeno,Circo / Teatro de calle / Artistas / Granada,Juegos
"Cofradía Nuestra Señora de la Piedad (Iznájar, Córdoba)",http://www.virgendelapiedad.org,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
"Wint &Lila (Puerto de Santa María, Cádiz)",http://www.wintlila.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"IES Nuestra Señora de Alharilla (Porcuna, Jaén)",http://www.xn--iesnuestraseoradealharilla-src.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Vicente Núñez (Aguilar de la Frontera, Córdoba)",http://www.xn--iesvicentenuez-1nb.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"Compañía Barataria La (Mairena del Aljarafe, Sevilla)",http://www.xn--lacompaiabarataria-t0b.com,Activa,Semestral,Pequeno,Teatro / Danza / Compañías teatrales / Sevilla,Arte
Yera Teatro (Granada),http://www.yerateatro.com,Activa,Semestral,Pequeno,Teatro de calle / Magia / Compañías teatrales / Granada,Arte
"Ymedio Teatro (Torreperogil, Jaén)",http://www.ymedioteatro.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Jaén,Arte
Compañía Sevilla de Zarzuela: proyeto socio-cultural,http://www.zarzuelasevilla.com,Activa,Semestral,Pequeno,Teatro lírico / Música / Artistas / Asociaciones / Sevilla,Arte
Zen del Sur (Granada),http://www.zendelsur.com,Activa,Semestral,Pequeno,Circo / Magia / Música / Artistas / Granada,Juegos
Universidad de Jaén,http://www10.ujaen.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
Formación y Evaluación de Competencias Profesionales (IAVANTE) (Granada),http://www2.iavante.es,Activa,Semestral,Pequeno,Medicina / Cualificaciones profesionales / Orientación profesional / Enseñanza / Granada,Medicina
"CEIP Ximénez de Guzmán (Coín, Málaga)",http://ximenezdeguzman.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Las Cañadas (Las Lagunas, Málaga)",http://xn--colegiolascaadas-iub.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
IES Manuel Cañadas (Moraleda de Zafayona),http://xn--iesmanuelcaadas-8qb.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
3 Monos Craft Beer (Málaga),https://3monoscraftbeer.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Málaga,Alimentaria
8Cádiz,https://8cadiz.es,Activa,Semanal,Pequeno,Medios de comunicación social / Televisión / Cádiz / Andalucía,Prensa
Asociación Andaluza de Bibliotecarios,https://aab.es,Activa,Semestral,Pequeno,Bibliotecas / Bibliotecarios / Asociaciones / Andalucía,Bibliotecas
Asociación Andaluza de Cirugía Oral y Maxilofacial,https://aacomf.org,Activa,Semestral,Pequeno,Medicina / Cirugía / Maxilares / Boca / Asociaciones / Andalucía,Medicina
Asociación Andaluza de Profesionales de Salud Mental,https://aapsm.net,Activa,Semestral,Pequeno,Medicina / Psiquiatría / Salud mental / Asociaciones / Andalucía,Medicina
"Asociación Astronómica Quarks (Úbeda, Jaén)",https://aaquarks.com/blog/,Activa,Semestral,Pequeno,Astronomía / Asociación / Jaén,Astronomía
Abba Teatro (Almería),https://abbateatro.blogspot.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Almería,Arte
Ilustre Colegio de Abogados de Málaga,https://abogaciademalaga.es,Activa,Semestral,Pequeno,Derecho / Abogados / Asociaciones / Málaga,Derecho
Academia Iberoamericana de Farmacia (Sevilla),https://academiaiberoamericanadefarmacia.com,Activa,Semestral,Pequeno,Farmacología / Instituciones científicas / Investigación / Sevilla,Farmacología
Accitania :diario digital de la comarca de Guadix,https://accitania.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
"IES San José de la Rinconada ( San José de la Rinconada, Sevilla)",https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/iessanjosedelarinconada/&followup=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/iessanjosedelarinconada/,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Ntra. Sra. del Rosario (El Gastor, Cádiz)",https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/nsrelgastor&followup=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/nsrelgastor,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Santa Teresa 1881 (Osuna, Sevilla)",https://aceite1881.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Albojaira (Alfacar, Granada)",https://aceitedealfacar.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"S.C.A. Olivarera Ntra. Sra. del Rosario (Nueva Carteya, Córdoba)",https://aceitedelrosario.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
"Aceite del Valle de Almanzora (Albox, Almería)",https://aceite-del-valle-del-almanzora.webnode.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Almería,Alimentaria
"MagnaSur (Bedmar, Jaén)",https://aceitedeolivavirgenextramagnasur.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Vieja Almazara, La (Alcolea, Córdoba)",https://aceitelavieja.es,Inactiva,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Miluma: el aceite de la Baetica (Cañete de las Torres, Córdoba)",https://aceitemiluma.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Orodeal (Algarinejo, Granada)",https://aceitesalgarinejo.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Aceites San José (San José de la Rinconada, Sevilla)",https://aceitesanjose.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Aceite San Sebastián (San Sebastián de los Ballesteros, Córdoba)",https://aceitesansebastian.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
"Aceites Baécula (Bailén, Jaén)",https://aceitesbaecula.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Aceites Calderay (Valverde del Camino, Huelva)",https://aceitescalderay.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Huelva,Alimentaria
"Aceites Cassiopea (Antequera, Málaga)",https://aceitescassiopea.blogspot.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"Cazorla (Cazorla, Jaén)",https://aceitescazorla.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Aceites de Ardales (Ardales, Málaga)",https://aceitesdeardales.com/es/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"Aceites La Salud (Castro del Río, Córdoba)",https://aceitesdelasalud.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
Aceites del mediterráneo (Málaga),https://aceitesdelmediterraneo.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"Monte Horquera (Nueva Cartaya, Córdoba)",https://aceitesdelmontehorquera.com,Inactiva,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Aceites La Matilla (Carmona, Sevilla)",https://aceiteslamatilla.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Maeva (Escúzar, Granada)",https://aceitesmaeva.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Aceites Molisur (Alhaurín El Grande, Málaga)",https://aceitesmolisur.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Oleoturismo / Málaga,Alimentaria
"Aceites Padilla (Bailén, Jaén)",https://aceitespadilla.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Samaria (Linares, Jaén)",https://aceitessamaria.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Aceites Sierra Sur (Pinos Puente, Granada)",https://aceitessierrasur.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Aceites Vallejo (Torredonjimeno, Jaén)",https://aceitesvallejo.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Aceites Vizcantar (Priego de Córdoba, Córdoba)",https://aceitesvizcantar.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"Aceitunas Campotoro (Cijuela, Granada)",https://aceitunascampotoro.com/es/,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Granada,Alimentaria
"Aceitunas Claudio (Benahadux, Almería)",https://aceitunasclaudio.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Almería,Alimentaria
"Aceitunas y encurtidos El Yelmo (La Puerta de Segura, Jaén)",https://aceitunaselyelmo.com,Activa,Anual,Mediano,Aceitunas / Encurtidos / Industria alimentaria / Jaén,Alimentaria
"S.C.A. Sor Ángela de la Cruz (Estepa, Sevilla)",https://aceitunasorangela.es,Activa,Anual,Mediano,Aceitunas / Industria alimentaria / Cooperativas / Sevilla,Alimentaria
